,pred,gt
153,MITTE loc-ZONE SONNTAG STARK WOLKE ODER REGEN,MITTE ZONE NICHT-MOEGEN STARK WOLKE ODER REGEN
154,DEUTSCH LAND SEHEN REGEN VERSCHWINDEN __EMOTION__ FRISCH KUEHL,DEUTSCHLAND ZWEI TEIL REGEN SCHWUEL FRISCH KUEHL
155,SUEDOSTRAUM SCHOEN SONST REGION NOCH REGEN REGION,SUEDOST SCHOEN REST NICHT-REGION SCHON REGEN
156,DONNERSTAG BIS SECHS ZWANZIG GRAD SEHEN SONNE WEST SCHAUER REGEN GEWITTER,DONNERSTAG BIS SECHS ZWANZIG GRAD VIEL SONNE WEST MEHR SCHAUER GEWITTER
157,SONNTAG REGEN WENIG NORD loc-REGION MOEGLICH SONNE,SONNTAG SCHNEE WENIG NORD REGION MOEGLICH SONNE
158,DANN KOMMEN REGEN-PLUSPLUS REGEN STARK GEWITTER,DANN KOMMEN SCHAUER STARK MIT GEWITTER
159,WEST loc-REGION MITTAG BESSER SONNE MOEGLICH __PU__,WEST FLUSS WEST REGION NACH MITTAG BESSER SONNE MOEGLICH
160,MITTE MORGEN NORD loc-REGION WETTER WECHSELHAFT __PU__ SONNTAG AUCH DRUCK loc-REGION SO,DAZU MORGEN NORD WETTER WECHSELHAFT SONNTAG AUCH MITTE REGION SO
161,JETZT WETTER WIE-AUSSEHEN MORGEN DONNERSTAG SIEBZEHN DEZEMBER,JETZT WETTER WIE-AUSSEHEN MORGEN DONNERSTAG SECHSZEHNTE DEZEMBER
162,IN-KOMMEND __PU__ DAZU SCHWACH SONNE NEBEL,SUED VERAENDERN KAUM WIE HEUTE SONNE ODER NEBEL
163,JETZT WETTER MORGEN FREITAG SIEBEN ZWANZIG AUGUST,JETZT WETTER MORGEN FREITAG SIEBEN ZWANZIG AUGUST
164,HOCH E EUROPA DRUCK KOMMEN SONST WARM __PU__,HOCH K+U+N+A MITBRINGEN KOMMEN FRUEHLING
165,HEUTE NACHT NULL ZWISCHEN TAG BERG FUENFZEHN __LEFTHAND__ VIERZEHN GRAD,HEUTE NACHT ZWISCHEN FUENF ZWISCHEN TAG MITTE BERG DREIZEHN IX NEUNZEHN GRAD
166,loc-REGION AUCH SCHAUER GEWITTER __EMOTION__ MEHR SONNTAG BIS DREISSIG GRAD KOENNEN GEWITTER WIND,ORT AUCH SCHAUER GEWITTER KURZ SONNTAG BIS DREISSIG GRAD MOEGLICH WIEDER UNWETTER
167,POLEN SCHWACH NORD MAESSIG FRISCH REGEN KUESTE BERG TEILWEISE,SUED WIND SCHWACH NORD MAESSIG FRISCH SCHAUER KUESTE BERG TEIL STURM ORKAN
168,GRUND NORD KUESTE DANN TIEF NORD KOMMEN,ERSTE WOLKE TIEF NORWEGEN ABER TIEF NORD ITALIEN KOMMEN
169,MORGEN MAXIMAL ZWOELF NORD EINS ZWANZIG GRAD,MORGEN IX MILD ZWOELF NORD ZWEI GRAD
170,WEST REGEN REGION HEUTE VIEL WOLKE BISSCHEN REGEN SCHNEE DABEI BERG,WEST REGEN REGION HEUTE NACHT VIEL WOLKE BISSCHEN IX REGEN SCHNEE BESONDERS BERG IX
171,NORDRAUM WENN WOLKE FROST BERG NULL MINUS SECHS,NORD NUR WOLKE FROST SUED DRESDEN IX REGION BERG NULL MINUS SECHS
172,__LEFTHAND__ SUED IX AUCH REGEN SONST MAL WOLKE SONNE SCHAUER REGEN WAHRSCHEINLICH,SUED IX SUED AUCH REGEN SONST MAL WOLKE SONNE MAL SONNE SCHAUER WAHRSCHEINLICH
173,BERG BIS BERG AUCH STURM WIND DEUTSCH loc-REGION MAXIMAL GRAD BERG DREI GRAD,BERG E+R+Z BERG AUCH ORKAN KOELN REGION IX DREIZEHN GRAD ALPEN DREI GRAD
174,MONTAG REGION FREUNDLICH KUESTE SUEDOSTRAUM WOLKE TEILWEISE REGEN,MONTAG VIEL REGION FREUNDLICH KUESTE SUEDOST KURZ WOLKE TEIL REGEN
175,__LEFTHAND__ PLUS SIEBEN GRAD __EMOTION__ MORGEN LAND KUEHL,IX PLUS SECHS GRAD VOR POMMERN REGION BISSCHEN FROST
176,WEST loc-NORDWEST VERSCHWINDEN STARK IX SCHAUER GEWITTER KOENNEN STARK,NORDWEST SPAETER AUFLOESEN JETZT IN-KOMMEND IX REGEN GEWITTER KOENNEN STARK
177,IM-VERLAUF MITTE __EMOTION__ REGION SUED MEHR FREUNDLICH IX NORDRAUM,IM-VERLAUF IM-VERLAUF TEMPERATUR REGION SUED MEHR FREUNDLICH IX NORD NICHT
178,LIEB ZUSCHAUER GUT ABEND,LIEB ZUSCHAUER EUCH GUT ABEND
179,JETZT WIE-AUSSEHEN __PU__ WETTER INFORMIEREN MORGEN DONNERSTAG FUENFTE FEBRUAR,JETZT WIE-AUSSEHEN WETTER MORGEN DONNERSTAG VIERTE FEBRUAR
180,AB MONTAG WETTER WECHSELHAFT WIND AB DIENSTAG STURM KOENNEN TEIL REGEN BERG MOEGLICH SCHNEE,AB MONTAG IN-KOMMEND WETTER WECHSELHAFT WIND AB DIENSTAG STURM KOENNEN TEIL REGEN BERG MOEGLICH SCHNEE
181,PLUS WOCHENENDE TAG ANFANG REGEN SCHNEE REGEN WETTER,EINS EINHALB HALB STUNDE SPAETER ANFANG REGEN DANN WETTER WECHSELHAFT
182,NEBEL RUHIG NOCH LANG NEBEL NUR SONNE MEHR TEMPERATUR NEBEL NUR ZWEI GRAD,SUED NEBEL REGION KOENNEN LANG NEBEL WENN SONNE HABEN DANN SCHAFFEN ELF GRAD NEBEL NUR DREI GRAD
183,ABER REST MEHR IX NORDWESTRAUM MEHR WOLKE SCHNEE KUESTE SUED,SONST REST MEHR KLAR NORD NORDWEST MEHR VIEL WOLKE SCHNEE MEHR KUESTE REGION SUED BAYERN
184,BISSCHEN REGEN OST SUEDOSTRAUM MEHR FREUNDLICH HIMMEL,ORT REGEN OST SUEDOST MEHR FREUNDLICH SCHOEN
185,MITTWOCH JUNI WERT WIE WIE-AUSSEHEN SCHON __PU__ BLEIBEN HABEN __PU__,IHR WUENSCHEN WISSEN SOMMER WEITER WIE LAUFEN WIE-AUSSEHEN DAMEN UND HERREN EUCH BLEIBEN HOCH TIEF HOCH TIEF
186,MONTAG WECHSELHAFT AUCH MONTAG WEITER REGION,MITTWOCH WECHSELHAFT AUCH DONNERSTAG WEITER WECHSELHAFT
187,WEST REGEN KOENNEN,WEST REGEN KOENNEN
188,TAGSUEBER DANN WIND STARK WIND KOENNEN SCHOEN ABEND WUENSCHEN,WOCHENENDE DANN STURM BEDEUTEN MEISTENS WIND SCHOEN ABEND EUCH
189,SONNE BEWOELKT KUESTE loc-REGION WOLKE MOEGLICH __PU__ MOEGLICH REGEN NICHT-VIEL __PU__,MORGEN SONNE UEBERALL KUESTE REGION WOLKE MOEGLICH MOEGLICH REGEN NICHT-VIEL
190,loc-REGION SONNE WOLKE WECHSELHAFT BISSCHEN REGEN loc-SUEDWEST MEISTENS MOEGLICH,NORD SONNE WOLKE WECHSELHAFT BISSCHEN SCHAUER SUEDWEST BESONDERS SONNE MOEGLICH
191,FREUNDLICH BLEIBEN loc-REGION SUEDOSTRAUM BISSCHEN SCHNEE REGEN SCHOEN ABEND poss-EUCH,FREUNDLICH BLEIBEN REGION SUED BISSCHEN SCHAUER SCHOEN ABEND AUSRICHTEN
192,REGION STERN KOENNEN SEHEN BIS IN-KOMMEND NEBEL,REGION STERN KOENNEN SEHEN BESONDERS NAEHE FLUSS NEBEL FELD
193,EINIGERMASSEN WARM FLUSS DREIZEHN BIS ZWEI GRAD,LANGSAM STEIGEN WARM FLUSS ACHTZEHN BIS ZWANZIG GRAD
194,__PU__ WETTER RUHIG,WETTER HEUTE MEHR RUHIG
195,IN-KOMMEND DANN SAMSTAG loc-REGION GEWITTER MORGEN WETTER VERSCHWINDEN,IN-KOMMEND NAECHSTE SAMSTAG REGION GEWITTER SONNTAG RUHIG VERSCHWINDEN
196,NACHT TEIL WOLKE TEIL KLAR ABER BISSCHEN SCHAUER REGEN GEWITTER MONTAG MAL SONNE WOLKE BESONDERS NACH MITTAG,NACHT TEIL WOLKE TEIL KLAR SCHAUER GEWITTER MORGEN MAL SONNE WOLKE BESONDERS NACH MITTAG
197,LIEB ZUSCHAUER GUT ABEND VIER BIS ELF IX poss-SEIN,LIEB ZUSCHAUER GUT ABEND SOMMER ZWEITAUSEND ELF FAST VORBEI
198,FLUSS IN-KOMMEND,ALSO FLUSS NAH
199,AUCH IN-KOMMEND FREITAG BISSCHEN KUEHL SCHOEN ABEND poss-EUCH MACHEN GUT,AUCH BIS FREITAG WIEDER SINKEN KUEHL SCHOEN ABEND MACHEN GUT
200,FREITAG BLEIBEN WARM TROCKEN SAMSTAG BESONDERS loc-WEST DANN KUEHL,FREITAG BLEIBEN WARM NASS SAMSTAG DANN SUEDWEST REGEN UND KUEHL
201,FRANKREICH REGION cl-KOMMEN OST KOENNEN BAYERN WEST SUED REGEN,FRANKREICH KOMMEN WOLKE OST NIEDERSACHSEN BAYERN SUEDWEST REGEN
202,MORGEN NORDOSTRAUM NOCH REGEN SCHNEE REGEN BERG IX AUCH SCHNEE REGEN,MORGEN NORDOST NOCH REGEN SCHNEE REGEN BERG IX NOCH SCHNEE DURCHGEHEND
203,GERADE FLUSS loc-REGION GEWITTER,GERADE RHEIN-PFALZ SAARLAND NORDRHEIN-WESTFALEN GEWITTER
204,MITTWOCH GEWITTER REGEN AUCH MORGEN TEMPERATUR ACHT BIS SIEBZEHN GRAD __PU__,MORGEN NACH MITTAG GEWITTER REGEN AUCH MORGEN TEMPERATUR ACHT BIS SECHSZEHN GRAD
205,TAG WENN LAND REGION MINUS ACHT NORDWESTRAUM DREI GRAD IN-KOMMEND,TAG VOGEL LAND MINUS ACHT NORD MINUS DREI GRAD WIE-AUSSEHEN IN-KOMMEND
206,JETZT REGEN MORGEN AUCH DURCHGEHEND BLEIBEN SUEDOSTRAUM TEILWEISE GEWITTER IX,SO STARK REGEN REGION MORGEN AUCH TEIL BLEIBEN REGEN SUEDOST REGEN TEIL GEWITTER HABEN
207,__LEFTHAND__ ZEIGEN loc-REGION MORGEN MEHR SONNE TEMPERATUR STEIGEN,A HOCH KOMMEN SAMSTAG SONNTAG MEHR SONNE TEMPERATUR STEIGEN
208,ANFANG BISSCHEN SCHNEE GLATT NORDWESTRAUM SKANDINAVIEN NEBEL SONNE FREUNDLICH SONNE DABEI,ANFANG KOENNEN SCHNEE MISCHUNG NORD TAG REGEN KOMMEN NOCH-NICHT SONNE FREUNDLICH SONNE DABEI
209,OST SUEDOSTRAUM WOLKE BISSCHEN SCHAUER SCHNEE REGEN SONST WOLKE IX KUESTE KLAR HIMMEL,OST SUEDOST UEBERWIEGEND WOLKE BISSCHEN SCHNEE REST WOLKE IX MEHR STERN KOENNEN SEHEN KLAR HIMMEL
210,MORGEN MINUS DREI loc-NORD PLUS FUENFZEHN GRAD SUED,TAG MINUS DREI NORDOST PLUS VIERZEHN GRAD SUED
211,MORGEN BESONDERS NORD WEST WESTRAUM BISSCHEN SCHNEE KOENNEN,MORGEN BESONDERS NORD REGION UND WEST REGEN KOENNEN
212,NACH MITTAG __LEFTHAND__ cl-KOMMEN WOLKE HAUPTSAECHLICH REGEN,AB MITTAG ZWISCHEN KOMMEN WOLKE MEISTENS REGEN
213,WIE-AUSSEHEN IN-KOMMEND MONTAG MAL SONNE KOENNEN NEBEL WEST KOENNEN SCHNEE,WIE-AUSSEHEN IN-KOMMEND MONTAG MAL SONNE MAL WOLKE WEST BISSCHEN SCHNEE
214,NORDOSTRAUM TIEF cl-KOMMEN WOLKE REGEN,NORDOST TIEF KOMMEN WOLKE REGEN
215,BIS MINUS SIEBEN BIS GRAD NORDWESTRAUM BIS PLUS EINS GRAD,TAGSUEBER MINUS SIEBEN BIS NULL GRAD NORD BIS PLUS EINS GRAD
216,NORD MORGEN WOLKE REGEN SUED BISSCHEN TROCKEN,NORD MORGEN BEWOELKT REGION REGEN SUED MEISTENS TROCKEN
217,WEHEN SCHWACH MAESSIG,WEHEN SCHWACH MAESSIG
218,SUEDWESTRAUM WEST WESTRAUM KOENNEN REGEN,SUEDWEST WEST KOENNEN REGEN
219,TAG SUEDOSTRAUM AUCH OST MEISTENS NEBEL MEISTENS TAG BISSCHEN REGEN,TAG MEHR SUEDOST AUCH OST MEISTENS WOLKE BESONDERS TAG VOR MITTAG ZWISCHEN VORMITTAG BISSCHEN REGEN ORT
220,MEHR SCHNEE REGEN MOEGLICH REGEN AUCH MOEGLICH WETTER ENORM DEUTSCH WETTER,MEHR SCHNEE SCHNEIEN MOEGLICH SCHNEIEN AUCH MOEGLICH WETTER WARNUNG VON DEUTSCH WETTER DIENST
221,FLUSS BIS GRAD OST loc-REGION WARM DREISSIG GRAD loc-SUED BAYERN __PU__ WARM __PU__,ZWOELF BIS ACHTZEHN GRAD OST REGION ZUERST WARM VIER AUCH SUED BAYERN WARM
222,NACH MITTAG WEST WOLKE cl-KOMMEN KOENNEN REGEN NACHT WIND KOENNEN STURM,NACH MITTAG NORDWEST WOLKE KOENNEN REGEN NACHT WIND KOENNEN STURM
223,KOENNEN REGEN STURM KOENNEN MEHR FREUNDLICH,KOENNEN REGEN WIND KOENNEN SUED MEHR FREUNDLICH
224,MORGEN __PU__ TIEF KOMMEN ABEND MITTE FLUSS loc-REGION TEIL SCHNEE GEWITTER BERG SCHON SCHNEE,MORGEN REGEN KOMMEN SCHWARZ WALD BERG REGION SCHNEE SIEBENHUNDERT FUENFHUNDERT METER BERG SCHON SCHNEE
225,MORGEN NORD loc-REGION TEIL MITTE SUED loc-REGION MEHR AUCH WENIG GEWITTER KOENNEN,MORGEN WEST VERBREITEN AB MITTAG NOCH-NICHT MITTE SUED REGION MEHR GEWITTER KOENNEN
226,WIE-AUSSEHEN IN-KOMMEND SONNTAG NORDOSTRAUM SCHNEE BLEIBEN WIND,WIE-AUSSEHEN IN-KOMMEND SONNTAG OST SPEZIELL SCHNEE NORD BLEIBEN WIND
227,FREITAG SONNE SAMSTAG SONNE,FREITAG UEBERWIEGEND SONNE UND SAMSTAG AUCH SONNE
228,WIND NORD SCHWACH MAESSIG KOMMEN SCHWACH WEHEN KOMMEN HEUTE NACHT TEMPERATUR EINS BIS SIEBZEHN GRAD,WIND NORD SCHWACH MAESSIG WEHEN SCHWACH WEHEN HEUTE NACHT TEMPERATUR ELF BIS ACHTZEHN GRAD
229,NORD loc-NORD SONNE DESWEGEN FREUNDLICH MILD IX TIEF HOCH WEHEN,HOCH NORD SONNE DESWEGEN GRENZE HOCH TIEF HOCH KALT WIND
230,__LEFTHAND__ TEIL WOLKE REGEN TEIL REGEN HEUTE NACHT MOEGLICH REGEN MORGEN ACHTUNG GLATT,WEST TEIL SCHNEE SCHNEIEN TEIL REGEN HEUTE NACHT MOEGLICH REGEN MIT EIS GLATT GEFAHR
231,MORGEN IX WEHEN NORDOSTRAUM FRISCH STURM,MORGEN IX WEHEN IX NORD FRISCH WIND
232,NACH MITTAG BISSCHEN IX loc-SUED AUCH KUEHL SINKEN __EMOTION__ KOENNEN,NACH MITTAG OST REGEN GEWITTER BISSCHEN SUED ABER KUEHL REGEN MEHR AUSHALTEN KOENNEN
233,JETZT WETTER VORAUS INFORMIEREN MORGEN MONTAG DREISSIG JANUAR,JETZT WETTER VORAUS INFORMIEREN MORGEN MONTAG EINS DREISSIG JANUAR
234,REGEN REGION IX TEIL AUCH SONNE DABEI,REGEN REGION UND IX TEILWEISE AUCH SONNE DABEI
235,IM-VERLAUF BESONDERS TAG HEUTE NACHT MEISTENS REGEN REGION __EMOTION__ GEWITTER,IM-VERLAUF FRUEH HERBST HEUTE NACHT HEFTIG REGEN KUESTE GEWITTER
236,BESONDERS WEST FRANKREICH NORD loc-REGION ALPEN UND E BERG IX SCHNEE REGEN,BESONDERS WEST SCHWARZ WALD REGION BERG AUCH E+R+Z BERG IX AUCH BISSCHEN SCHNEE
237,MORGEN WETTER WIE-AUSSEHEN FREITAG ZEHNTE JUNI,MORGEN WETTER WIE-AUSSEHEN FREITAG ZEHNTE JULI
238,TIEF OST cl-KOMMEN VERSCHWINDEN WOCHENENDE,TIEF REGEN OST KOMMEN VERSCHWINDEN IN-KOMMEND NEU
239,REGION STARK NORD BISSCHEN,HOFFEN REGION JETZT NORDOST VERLAUFEN VERSCHWINDEN
240,HEUTE NACHT NICHTALP-AUCH __PU__ NUR NORDWESTRAUM BISSCHEN REGEN loc-REGION,HEUTE NACHT NICHT-KAUM NUR NORDWEST BISSCHEN REGEN SONST REGION RUHIG
241,IM-VERLAUF SCHNEE LOS REGEN ABER MIT REGEN VORSICHT GLATT MOEGLICH __PU__,IM-VERLAUF SCHNEE UMKEHREN REGEN ABER EIS REGEN VORSICHT STRASSE GLATT MOEGLICH
242,AUCH MORGEN FRUEH IX ANFANG FREUNDLICH DANN WOLKE cl-KOMMEN OST,IX MORGEN IM-VERLAUF IX ANFANG FREUNDLICH ABER WOLKE KOMMEN OST
243,MONTAG __LEFTHAND__ MAXIMAL JETZT IX LAND IX REGION AUCH LUFT cl-KOMMEN,MONTAG MEER TIEF IX DEUTSCH NORD DEUTSCH LAND IX NORD IX KOMMEN DANN KUEHL KOMMEN
244,DIENSTAG WOLKE BISSCHEN REGEN __PU__ REGEN,AUCH DIENSTAG WOLKE MEHR REGEN ODER SCHNEE
245,BESONDERS MORGEN MEHR LAND ZWOELF VIEL REGEN loc-REGION OST,FRISCH MORGEN ANGENEHM DEUTSCH LAND ABER IM-MOMENT DANN VIEL REGEN REGION OST REGION OST LANGSAM
246,BERG MOEGLICH SCHNEE REGEN BERG SUED SCHNEE NUR BIS NULL METER BISSCHEN REGEN SCHNEE REGEN,BERG MEISTENS SCHNEE REGEN BERG ABER SUED REGION REGEN UNGEFAEHR TAUSEND ZWEIHUNDERT IX SCHNEE
247,TEMPERATUR SEHEN __PU__ MORGEN GLEICH SIEBZEHN REGEN loc-SUEDOST WENN REGEN,TEMPERATUR WIE-AUSSEHEN MORGEN GLEICH SIEBZEHN ACHTZEHN SUEDOST WENN REGEN
248,SUED SCHWACH NORD MAESSIG MAESSIG-PLUSPLUS MAESSIG loc-NORD STURM,SUED SCHWACH NORD MAESSIG KUESTE STARK STURM
249,WETTER WIE-AUSSEHEN MORGEN SONNTAG ZEHNTE JANUAR,JETZT WETTER WIE-AUSSEHEN MORGEN SONNTAG ZEHNTE JANUAR
250,SAMSTAG MEHR SONNE WOLKE WENIG,SAMSTAG MEHR SONNE WOLKE KAUM
251,WETTER WIE-AUSSEHEN MORGEN SONNTAG FUENFZEHN MAI,WETTER WIE-AUSSEHEN MORGEN SONNTAG VIERZEHN FEBRUAR
252,TAG NORDRAUM SECHSZEHN REGION IX DREI ZWANZIG GRAD,TAG NORDOST SECHSZEHN REGION IX DREI ZWANZIG GRAD
253,MITTWOCH SINKEN KUEHL WECHSELHAFT SONNE WOLKE SCHAUER GEWITTER WEST,MITTWOCH SINKEN KUEHLER WECHSELHAFT SONNE WOLKE SCHAUER GEWITTER WEST
254,TAG FUENF GRAD REGION BIS DREIZEHN GRAD WIND REGION,TAG FUENF GRAD NEBEL UND FUENFZEHN GRAD FOEHN REGION
255,HEUTE NACHT SCHON WEST loc-NORDWEST REGEN NEBEL KOMMEN IX __EMOTION__ loc-REGION,HEUTE NACHT SCHON WEST REGEN LANGSAM KOMMEN FLUSS REGION NOCH
256,WIND WEHEN AUCH MOEGLICH BLEIBEN,WIND WEHEN IX STURM GEWITTER KOENNEN AUCH DABEI STURM
257,ZWANZIG SUED EUROPA IX BIS __LEFTHAND__ SEHEN,ZWEI TIEF EUROPA IX WIE-AUSSEHEN SEHEN ZEIGEN-BILDSCHIRM KOMMEN
258,SPAETER WEST cl-KOMMEN REGEN,REGION SPAETER WEST KOMMEN REGEN
259,REGION HOCH cl-KOMMEN AUCH SONNE KOENNEN HABEN,HEUTE REGION HOCH KOMMEN ABER SONNE IX SCHWIERIG SCHEINEN
260,loc-SUEDOST KOENNEN loc-REGION STURM REGEN HAGEL STURM MOEGLICH SONST MAESSIG KOMMEN,SPEZIELL SUEDOST KOENNEN ORT UNWETTER REGEN HAGEL STURM KOENNEN NORMAL WIND LEICHT MAESSIG KOMMEN WEHEN
261,NORDWESTRAUM BISSCHEN WOLKE cl-KOMMEN MORGEN IX MITTE WOLKE MEISTENS NEBEL,NORDWEST BISSCHEN WOLKE KOMMEN TAG SUED MITTE WOLKE KRAEFTIG NEBEL
262,HEUTE NACHT PLUS DREI REGION NORDRAUM LEICHT FROST MINUS,HEUTE NACHT PLUS DREI REGION NULL ZWISCHEN LEICHT FROST MINUS EIN MINUS ZWEI
263,KUESTE STARK STURM MORGEN WIND STURM GEWITTER SCHON NORD MAESSIG WEHEN,NACHT SEE SCHWER STURM MORGEN ORKAN HABEN DESHALB FRISCH MAESSIG WEHEN
264,SUEDWESTRAUM IX cl-KOMMEN WIND KOENNEN NORDRAUM,SUED WEHEN IX WEHEN KOENNEN STURM KOENNEN NORD SCHWER STURM
265,MEER IX BIS REGION __LEFTHAND__ cl-KOMMEN MORGEN MEHR SCHWACH DEUTSCH LAND FREUNDLICH SONNE NUR NORDRAUM BISSCHEN WOLKE,MEER IX BIS SCHWARZ MEER HOCH KOMMEN MORGEN MEHR SCHWACH ABER DEUTSCH LAND VIEL SONNE NUR NORD BISSCHEN WOLKE
266,ABER MEHR MILD DANN BISSCHEN REGEN HIMMEL,ABER IN-KOMMEND MILD DANN WIEDER SCHNEE GRENZE AUF
267,WIND WEHEN FRISCH WEHEN MEHR STARK STURM,WIND WEHEN FRISCH KOMMEN HOCH STURM
268,SCHON SONNE ABER NUR BISSCHEN NUR BISSCHEN UND FLUSS ABER,ENDLICH SONNE ABER DEUTSCH KAUM NORD DEUTSCH BISSCHEN SONNE DANN FLUSS REGION AUCH SONNE
269,WOCHENENDE MONTAG WETTER REGION KALT FLUSS WARM loc-REGION HEUTE REGEN KOENNEN,WOCHENENDE IM-VERLAUF MONTAG DIENSTAG NORDOST DANN KALT NORDRHEIN-WESTFALEN HEINS BERG KOMMEN HEUTE NACHT REGEN KOENNEN
270,REGION WOLKE KLAR TROCKEN REGION FLUSS REGEN,REGION WOLKE KLAR TROCKEN AM-TAG REGION SCHNEE FLUSS REGEN
271,HEUTE NACHT GRAD MINUS SIEBEN REGION,HEUTE-NACHT IX EIN GRAD MINUS SIEBEN REGION
272,MORGEN ZWANZIG loc-REGION BIS SIEBEN ZWANZIG SONNE loc-REGION,MORGEN EINS ZWANZIG REGION BIS ACHT ZWANZIG UNTEN REGION
273,JETZT WETTER WIE-AUSSEHEN MORGEN SONNTAG ZWANZIG SEPTEMBER,JETZT WETTER WIE-AUSSEHEN MORGEN SONNTAG SECHS ZWANZIG SEPTEMBER
274,MITTE REGION SUED BISSCHEN ODER REGEN NACH MITTAG REGEN DURCHGEHEND,MITTE REGION VOR MITTAG MEHR BISSCHEN LEICHT REGEN NACH MITTAG REGEN DURCH
275,NACHT STURM MOEGLICH MORGEN SCHWACH MAESSIG ZEIGEN,HEUTE-NACHT STURM KOENNEN MORGEN SCHWACH MAESSIG ZEIGEN-BILDSCHIRM WIND
276,loc-REGION MITTE loc-REGION VIEL REGEN poss-SEIN,MITTE EUROPA VIEL REGEN NICHT NEIN
277,MORGEN WECHSELHAFT IX MORGEN __PU__ BESSER NACHT REGEN,MORGEN WECHSELHAFT ABER IX MORGEN BISSCHEN BESSER RUHIG NACHT SCHNEE
278,SUEDOSTRAUM REGEN STARK,SUEDOST REGEN STARK KANN
279,__EMOTION__ SCHWACH NORD ABEND,WIE HERBST SCHOEN ABEND WUENSCHEN
280,SONNE,SONNE
281,NACHMITTAG NORD HOCH cl-KOMMEN __EMOTION__ IN-KOMMEND SONNE STARK,OST NORD HOCH KOMMEN NOCH IN-KOMMEND SONNE MEISTENS
282,FREITAG loc-SUEDOST SONNE WOLKE FREITAG DANN KOMMEN REGEN KOENNEN,FREITAG SUEDOST SONNE FREITAG DANN MEHR WOLKE REGEN KOENNEN
283,IN-KOMMEND WIE SOMMER,IN-KOMMEND MEHR WIE TATSAECHLICH SPUEREN PASSEN SOMMER WEST
284,JETZT __PU__ ABEND IX MEHR,JETZT IM-MOMENT NACHT NOCH WARM IX MORGEN FRUEH MEHR KUEHL
285,WETTER WIE-AUSSEHEN MORGEN MONTAG FUENFZEHN,JETZT WETTER WIE-AUSSEHEN MORGEN MONTAG FUENFTE JULI
286,IX DEUTSCHLAND WETTER HAUPTSAECHLICH NORD loc-NORD SCHAUER GEWITTER BLITZ,DIESE WARNUNG UNWETTER DEUTSCH WETTER DIENST HAUPTSAECHLICH NORD MITTE REGEN GEWITTER
287,LUFT SO __LEFTHAND__ cl-KOMMEN KUEHL,LUFT KUEHL REGION TIEF HOCH REGION KOMMEN KUEHL
288,HEUTE NACHT IX REGION NULL GRAD STERN KOENNEN SEHEN MINUS ZWEIZWANZIG GRAD,HEUTE NACHT IX REGION NULL GRAD WENN STERN KOENNEN BIS MINUS ZWEIZWANZIG GRAD
289,MOEGLICH MITTE ALPEN HEUTE NACHT cl-KOMMEN WOLKE,KOENNEN WASSER STEIGEN HEUTE NACHT KOMMEN WOLKE KOMMEN
290,WIE-AUSSEHEN RUEGEN MORGEN DONNERSTAG ZEHN,JETZT WIE-AUSSEHEN WETTER MORGEN DONNERSTAG ZEHNTE SEPTEMBER DEZEMBER
291,JETZT WETTER WIE-AUSSEHEN MORGEN SAMSTAG ZWEITE NOVEMBER,JETZT WETTER WIE-AUSSEHEN MORGEN SAMSTAG ZWEITE OKTOBER
292,OST SUED BISSCHEN HEUTE NACHT HAUPTSAECHLICH WOLKE,OST SUEDOST ZONE HEUTE NACHT STARK BEWOELKT
293,TAG DREI ZWANZIG GRAD NORD SEE SONST MILD OST IX MOEGLICH GRAD,TAG TEIL NUR EIN GRAD NORD SEE SONST MILD OST SUEDOST SECHSZEHN GRAD
294,KOENNEN REGEN GLATT GEFRIEREN,KOENNEN REGEN GLATT KALT KOENNEN
295,NORD SUED TEIL IX REGEN TEIL REGEN SCHNEE GEFRIEREN __EMOTION__ FROST,NORD FLUSS SUED TROCKEN IX ZONE KOENNEN REGEN TEILWEISE SCHNEE REGEN UMWANDELN GEFRIEREN
296,WEST KOMMEN REGEN SCHAUER GEWITTER KOENNEN WETTER DIENST WARNUNG,WEST SUEDWEST TIEF KOMMEN SCHAUER GEWITTER KOENNEN DEUTSCH WETTER DIENST WARNUNG
297,loc-REGION NOCH HOCH cl-KOMMEN,REGION NOCH HOCH DRUCK KOMMEN
298,IN-KOMMEND WETTER MEHR REGEN VIER TEMPERATUR __PU__ IX WARM,ICH OSTERN WETTER ZUFRIEDEN MITTAG TEMPERATUR SUED WARM MEIN NICHT
299,IX MORGEN __PU__ FUENF GRAD NORDOSTRAUM MILD WO SUED FLUSS ZWOELF GRAD,AUCH MORGEN WETTER SUPER NICHT-HABEN FUENF GRAD NORDOST MILD WO SUEDWEST FLUSS ZWOELF GRAD
300,poss-SEIN BESSER MINUS ZEHN GRAD loc-SUEDOST AUCH,SONNE FRISCH BIS ZEHN GRAD SUEDOST AUCH
301,loc-SUED FREUNDLICH SONNE SAMSTAG SONNTAG DANN WECHSELHAFT IX BISSCHEN REGEN BESONDERS BERG,SUEDOST SEIN FREUNDLICH SONNE SAMSTAG SONNTAG DANN WECHSELHAFT IX REGEN BESONDERS SONNTAG KOENNEN STURM
302,REGEN SCHNEE WIND STURM WEST WEHEN cl-KOMMEN,DANN REGEN VERSCHWINDEN WIND STURM WEST KOMMEN
303,AUCH SAMSTAG __EMOTION__ GLEICH IX cl-KOMMEN MEHR KUEHL,AUCH SAMSTAG NAECHSTE GLEICH IX KOMMEN MEHR KUEHL
