,pred,gt
145,SAMSTAG AUCH DANN SONNTAG WEST BISSCHEN SCHAUER GEWITTER,SAMSTAG AUCH DANN SONNTAG WEST BISSCHEN SCHAUER GEWITTER
146,HEUTE NACHT TEMPERATUR MINUS DREI MINUS SIEBZEHN WENN KLAR TIEF,HEUTE NACHT TEMPERATUR MINUS DREI MINUS SIEBZEHN WENN KLAR TIEF
147,HEUTE HEUTE NACHT NORDWEST WOLKE BISSCHEN REGEN,WOLKE HEUTE NACHT NORDWEST WOLKE BISSCHEN REGEN
148,SUED SCHWACH MAESSIG IX WIND IX X WEST STARK WIND,MANCHMAL SCHWACH MAESSIG IX WIND IX X WEST STARK WIND
149,SKANDINAVIEN HOCH KOMMEN KALT KOMMEN FRANKREICH KOMMEN TIEF KOMMEN WOLKE KOMMEN KOENNEN SCHNEE REGEN,SKANDINAVIEN HOCH KOMMEN KALT KOMMEN FRANKREICH KOMMEN TIEF KOMMEN WOLKE KOMMEN KOENNEN SCHNEE REGEN
150,SAMSTAG NORD KALT,NUR NORD WEHEN
151,NORDRAUM IX cl-KOMMEN ZONE DAZWISCHEN,NORD KALT KOMMEN ZONE DAZWISCHEN
152,DABEI BLITZ DONNER MORGEN REGION REGEN DABEI NORD DANN AUFLOESEN DANN SONNE DABEI,DABEI BLITZ DONNER MORGEN REGION REGEN DABEI NORD DANN AUFLOESEN DANN SONNE DABEI
153,MITTE ZONE NICHT-MOEGEN STARK WOLKE ODER REGEN,MITTE ZONE NICHT-MOEGEN STARK WOLKE ODER REGEN
154,ABEND ZWEI TEIL REGEN SCHWUEL FRISCH KUEHL,DEUTSCHLAND ZWEI TEIL REGEN SCHWUEL FRISCH KUEHL
155,FREITAG SCHOEN REST NICHT-REGION SCHON REGEN,SUEDOST SCHOEN REST NICHT-REGION SCHON REGEN
156,DONNERSTAG BIS SECHS ZWANZIG GRAD VIEL SONNE WEST MEHR SCHAUER GEWITTER,DONNERSTAG BIS SECHS ZWANZIG GRAD VIEL SONNE WEST MEHR SCHAUER GEWITTER
157,SONNTAG SCHNEE WENIG NORD REGION MOEGLICH SONNE,SONNTAG SCHNEE WENIG NORD REGION MOEGLICH SONNE
158,DANN KRAEFTIG SCHAUER STARK MIT GEWITTER,DANN KOMMEN SCHAUER STARK MIT GEWITTER
159,WEST FLUSS WEST REGION NACH MITTAG BESSER SONNE MOEGLICH,WEST FLUSS WEST REGION NACH MITTAG BESSER SONNE MOEGLICH
160,DAZU MORGEN NORD WETTER WECHSELHAFT SONNTAG AUCH MITTE REGION SO,DAZU MORGEN NORD WETTER WECHSELHAFT SONNTAG AUCH MITTE REGION SO
161,JETZT WETTER WIE-AUSSEHEN MORGEN DONNERSTAG SECHSZEHNTE DEZEMBER,JETZT WETTER WIE-AUSSEHEN MORGEN DONNERSTAG SECHSZEHNTE DEZEMBER
162,IN-KOMMEND AUCH KAUM WIE HEUTE SONNE ODER NEBEL,SUED VERAENDERN KAUM WIE HEUTE SONNE ODER NEBEL
163,JETZT WETTER MORGEN FREITAG SIEBEN ZWANZIG AUGUST,JETZT WETTER MORGEN FREITAG SIEBEN ZWANZIG AUGUST
164,AUCH ZWISCHEN MITBRINGEN KOMMEN FRUEHLING,HOCH K+U+N+A MITBRINGEN KOMMEN FRUEHLING
165,HEUTE NACHT NEIN FUENF ZWISCHEN TAG MITTE BERG DREIZEHN IX NEUNZEHN GRAD,HEUTE NACHT ZWISCHEN FUENF ZWISCHEN TAG MITTE BERG DREIZEHN IX NEUNZEHN GRAD
166,SONNTAG AUCH SCHAUER GEWITTER KURZ SONNTAG BIS DREISSIG GRAD MOEGLICH WIEDER UNWETTER,ORT AUCH SCHAUER GEWITTER KURZ SONNTAG BIS DREISSIG GRAD MOEGLICH WIEDER UNWETTER
167,NORD loc-SUED SCHWACH NORD MAESSIG FRISCH SCHAUER KUESTE BERG TEIL STURM ORKAN,SUED WIND SCHWACH NORD MAESSIG FRISCH SCHAUER KUESTE BERG TEIL STURM ORKAN
168,NORD WOLKE TIEF NORWEGEN ABER TIEF NORD ITALIEN KOMMEN,ERSTE WOLKE TIEF NORWEGEN ABER TIEF NORD ITALIEN KOMMEN
169,HEUTE NORD UNGEFAEHR ZWOELF NORD ZWEI GRAD,MORGEN IX MILD ZWOELF NORD ZWEI GRAD
170,WEST REGEN REGION HEUTE NACHT VIEL WOLKE BISSCHEN IX REGEN SCHNEE BESONDERS BERG IX,WEST REGEN REGION HEUTE NACHT VIEL WOLKE BISSCHEN IX REGEN SCHNEE BESONDERS BERG IX
171,NORD NUR WOLKE FROST SUED DRESDEN IX REGION BERG NULL MINUS SECHS,NORD NUR WOLKE FROST SUED DRESDEN IX REGION BERG NULL MINUS SECHS
172,SUED IX SUED AUCH REGEN SONST MAL WOLKE SONNE MAL SONNE SCHAUER WAHRSCHEINLICH,SUED IX SUED AUCH REGEN SONST MAL WOLKE SONNE MAL SONNE SCHAUER WAHRSCHEINLICH
173,BERG AUCH BERG AUCH ORKAN KOELN REGION IX DREIZEHN GRAD ALPEN DREI GRAD,BERG E+R+Z BERG AUCH ORKAN KOELN REGION IX DREIZEHN GRAD ALPEN DREI GRAD
174,MONTAG VIEL REGION FREUNDLICH KUESTE SUEDOST KURZ WOLKE TEIL REGEN,MONTAG VIEL REGION FREUNDLICH KUESTE SUEDOST KURZ WOLKE TEIL REGEN
175,WARM IX SECHS GRAD VOR POMMERN REGION BISSCHEN FROST,IX PLUS SECHS GRAD VOR POMMERN REGION BISSCHEN FROST
176,WEST SPAETER AUFLOESEN JETZT IN-KOMMEND IX REGEN GEWITTER KOENNEN STARK,NORDWEST SPAETER AUFLOESEN JETZT IN-KOMMEND IX REGEN GEWITTER KOENNEN STARK
177,IM-VERLAUF IM-VERLAUF REGEN REGION SUED MEHR FREUNDLICH IX NORD NICHT,IM-VERLAUF IM-VERLAUF TEMPERATUR REGION SUED MEHR FREUNDLICH IX NORD NICHT
178,LIEB ZUSCHAUER GUT GUT ABEND,LIEB ZUSCHAUER EUCH GUT ABEND
179,JETZT WETTER WETTER MORGEN DONNERSTAG VIERTE FEBRUAR,JETZT WIE-AUSSEHEN WETTER MORGEN DONNERSTAG VIERTE FEBRUAR
180,AB MONTAG IN-KOMMEND WETTER WECHSELHAFT WIND AB DIENSTAG STURM KOENNEN TEIL REGEN BERG MOEGLICH SCHNEE,AB MONTAG IN-KOMMEND WETTER WECHSELHAFT WIND AB DIENSTAG STURM KOENNEN TEIL REGEN BERG MOEGLICH SCHNEE
181,ANFANG EINHALB HALB STUNDE SPAETER ANFANG REGEN DANN WETTER WECHSELHAFT,EINS EINHALB HALB STUNDE SPAETER ANFANG REGEN DANN WETTER WECHSELHAFT
182,FREITAG NEBEL REGION KOENNEN LANG NEBEL WENN SONNE HABEN DANN SCHAFFEN ELF GRAD NEBEL NUR DREI GRAD,SUED NEBEL REGION KOENNEN LANG NEBEL WENN SONNE HABEN DANN SCHAFFEN ELF GRAD NEBEL NUR DREI GRAD
183,SONST REST MEHR KLAR NORD NORDWEST MEHR VIEL WOLKE SCHNEE MEHR KUESTE REGION SUED BAYERN,SONST REST MEHR KLAR NORD NORDWEST MEHR VIEL WOLKE SCHNEE MEHR KUESTE REGION SUED BAYERN
184,SONNTAG REGEN OST SUEDOST MEHR FREUNDLICH SCHOEN,ORT REGEN OST SUEDOST MEHR FREUNDLICH SCHOEN
185,JETZT WUENSCHEN WISSEN SOMMER WEITER WIE LAUFEN WIE-AUSSEHEN DAMEN UND HERREN EUCH BLEIBEN HOCH TIEF HOCH TIEF,IHR WUENSCHEN WISSEN SOMMER WEITER WIE LAUFEN WIE-AUSSEHEN DAMEN UND HERREN EUCH BLEIBEN HOCH TIEF HOCH TIEF
186,MONTAG WECHSELHAFT AUCH DONNERSTAG WEITER WECHSELHAFT,MITTWOCH WECHSELHAFT AUCH DONNERSTAG WEITER WECHSELHAFT
187,WEST REGEN KOENNEN,WEST REGEN KOENNEN
188,DANN DANN STURM BEDEUTEN MEISTENS WIND SCHOEN ABEND EUCH,WOCHENENDE DANN STURM BEDEUTEN MEISTENS WIND SCHOEN ABEND EUCH
189,MORGEN SONNE MOEGLICH KUESTE REGION WOLKE MOEGLICH MOEGLICH REGEN NICHT-VIEL,MORGEN SONNE UEBERALL KUESTE REGION WOLKE MOEGLICH MOEGLICH REGEN NICHT-VIEL
190,TAG loc-REGION WOLKE WECHSELHAFT BISSCHEN SCHAUER SUEDWEST BESONDERS SONNE MOEGLICH,NORD SONNE WOLKE WECHSELHAFT BISSCHEN SCHAUER SUEDWEST BESONDERS SONNE MOEGLICH
191,FREUNDLICH SONNE REGION SUED BISSCHEN SCHAUER SCHOEN ABEND AUSRICHTEN,FREUNDLICH BLEIBEN REGION SUED BISSCHEN SCHAUER SCHOEN ABEND AUSRICHTEN
192,HEUTE STERN KOENNEN SEHEN BESONDERS NAEHE FLUSS NEBEL FELD,REGION STERN KOENNEN SEHEN BESONDERS NAEHE FLUSS NEBEL FELD
193,NORD STEIGEN WARM FLUSS ACHTZEHN BIS ZWANZIG GRAD,LANGSAM STEIGEN WARM FLUSS ACHTZEHN BIS ZWANZIG GRAD
194,__PU__ HEUTE MEHR RUHIG,WETTER HEUTE MEHR RUHIG
195,IN-KOMMEND NAECHSTE SAMSTAG REGION GEWITTER SONNTAG RUHIG VERSCHWINDEN,IN-KOMMEND NAECHSTE SAMSTAG REGION GEWITTER SONNTAG RUHIG VERSCHWINDEN
196,NACHT TEIL WOLKE TEIL KLAR SCHAUER GEWITTER MORGEN MAL SONNE WOLKE BESONDERS NACH MITTAG,NACHT TEIL WOLKE TEIL KLAR SCHAUER GEWITTER MORGEN MAL SONNE WOLKE BESONDERS NACH MITTAG
197,LIEB ZUSCHAUER GUT ABEND SOMMER ZWEITAUSEND ELF FAST VORBEI,LIEB ZUSCHAUER GUT ABEND SOMMER ZWEITAUSEND ELF FAST VORBEI
198,FLUSS FLUSS NAH,ALSO FLUSS NAH
199,DONNERSTAG BIS FREITAG WIEDER SINKEN KUEHL SCHOEN ABEND MACHEN GUT,AUCH BIS FREITAG WIEDER SINKEN KUEHL SCHOEN ABEND MACHEN GUT
200,ABER BLEIBEN WARM NASS SAMSTAG DANN SUEDWEST REGEN UND KUEHL,FREITAG BLEIBEN WARM NASS SAMSTAG DANN SUEDWEST REGEN UND KUEHL
201,ABEND cl-KOMMEN WOLKE OST NIEDERSACHSEN BAYERN SUEDWEST REGEN,FRANKREICH KOMMEN WOLKE OST NIEDERSACHSEN BAYERN SUEDWEST REGEN
202,MORGEN NORDOST NOCH REGEN SCHNEE REGEN BERG IX NOCH SCHNEE DURCHGEHEND,MORGEN NORDOST NOCH REGEN SCHNEE REGEN BERG IX NOCH SCHNEE DURCHGEHEND
203,IM-VERLAUF RHEIN-PFALZ SAARLAND NORDRHEIN-WESTFALEN GEWITTER,GERADE RHEIN-PFALZ SAARLAND NORDRHEIN-WESTFALEN GEWITTER
204,MORGEN NACH MITTAG GEWITTER REGEN AUCH MORGEN TEMPERATUR ACHT BIS SECHSZEHN GRAD,MORGEN NACH MITTAG GEWITTER REGEN AUCH MORGEN TEMPERATUR ACHT BIS SECHSZEHN GRAD
205,HEUTE VOGEL LAND MINUS ACHT NORD MINUS DREI GRAD WIE-AUSSEHEN IN-KOMMEND,TAG VOGEL LAND MINUS ACHT NORD MINUS DREI GRAD WIE-AUSSEHEN IN-KOMMEND
206,MORGEN STARK REGEN REGION MORGEN AUCH TEIL BLEIBEN REGEN SUEDOST REGEN TEIL GEWITTER HABEN,SO STARK REGEN REGION MORGEN AUCH TEIL BLEIBEN REGEN SUEDOST REGEN TEIL GEWITTER HABEN
207,MORGEN HOCH KOMMEN SAMSTAG SONNTAG MEHR SONNE TEMPERATUR STEIGEN,A HOCH KOMMEN SAMSTAG SONNTAG MEHR SONNE TEMPERATUR STEIGEN
208,ANFANG WOCHE SCHNEE MISCHUNG NORD TAG REGEN KOMMEN NOCH-NICHT SONNE FREUNDLICH SONNE DABEI,ANFANG KOENNEN SCHNEE MISCHUNG NORD TAG REGEN KOMMEN NOCH-NICHT SONNE FREUNDLICH SONNE DABEI
209,OST SUEDOSTRAUM UEBERWIEGEND WOLKE BISSCHEN SCHNEE REST WOLKE IX MEHR STERN KOENNEN SEHEN KLAR HIMMEL,OST SUEDOST UEBERWIEGEND WOLKE BISSCHEN SCHNEE REST WOLKE IX MEHR STERN KOENNEN SEHEN KLAR HIMMEL
210,MORGEN MINUS FUENFZEHN NORDOST PLUS VIERZEHN GRAD SUED,TAG MINUS DREI NORDOST PLUS VIERZEHN GRAD SUED
211,MORGEN BESONDERS NORD REGION UND WEST REGEN KOENNEN,MORGEN BESONDERS NORD REGION UND WEST REGEN KOENNEN
212,NACH MITTAG ABEND __LEFTHAND__ WOLKE MEISTENS REGEN,AB MITTAG ZWISCHEN KOMMEN WOLKE MEISTENS REGEN
213,WIE-AUSSEHEN IN-KOMMEND MONTAG MAL SONNE MAL WOLKE WEST BISSCHEN SCHNEE,WIE-AUSSEHEN IN-KOMMEND MONTAG MAL SONNE MAL WOLKE WEST BISSCHEN SCHNEE
214,NORDOSTRAUM TIEF cl-KOMMEN WOLKE REGEN,NORDOST TIEF KOMMEN WOLKE REGEN
215,TAGSUEBER MINUS SIEBEN BIS NULL GRAD NORD BIS PLUS EINS GRAD,TAGSUEBER MINUS SIEBEN BIS NULL GRAD NORD BIS PLUS EINS GRAD
216,NORD loc-REGION WECHSELHAFT REGION REGEN SUED MEISTENS TROCKEN,NORD MORGEN BEWOELKT REGION REGEN SUED MEISTENS TROCKEN
217,WEHEN SCHWACH MAESSIG,WEHEN SCHWACH MAESSIG
218,WEST WEST KOENNEN REGEN,SUEDWEST WEST KOENNEN REGEN
219,TAG MEHR SUEDOST AUCH OST MEISTENS WOLKE BESONDERS TAG VOR MITTAG ZWISCHEN VORMITTAG BISSCHEN REGEN ORT,TAG MEHR SUEDOST AUCH OST MEISTENS WOLKE BESONDERS TAG VOR MITTAG ZWISCHEN VORMITTAG BISSCHEN REGEN ORT
220,AUCH SCHNEE SCHNEIEN MOEGLICH SCHNEIEN AUCH MOEGLICH WETTER WARNUNG VON DEUTSCH WETTER DIENST,MEHR SCHNEE SCHNEIEN MOEGLICH SCHNEIEN AUCH MOEGLICH WETTER WARNUNG VON DEUTSCH WETTER DIENST
221,MORGEN BIS ACHTZEHN GRAD OST REGION ZUERST WARM VIER AUCH SUED BAYERN WARM,ZWOELF BIS ACHTZEHN GRAD OST REGION ZUERST WARM VIER AUCH SUED BAYERN WARM
222,NACH MITTAG NORDWEST WOLKE KOENNEN REGEN NACHT WIND KOENNEN STURM,NACH MITTAG NORDWEST WOLKE KOENNEN REGEN NACHT WIND KOENNEN STURM
223,SAMSTAG REGEN WIND KOENNEN SUED MEHR FREUNDLICH,KOENNEN REGEN WIND KOENNEN SUED MEHR FREUNDLICH
224,MORGEN FLUSS KOMMEN SCHWARZ WALD BERG REGION SCHNEE SIEBENHUNDERT FUENFHUNDERT METER BERG SCHON SCHNEE,MORGEN REGEN KOMMEN SCHWARZ WALD BERG REGION SCHNEE SIEBENHUNDERT FUENFHUNDERT METER BERG SCHON SCHNEE
225,MORGEN NORD VERBREITEN AB MITTAG NOCH-NICHT MITTE SUED REGION MEHR GEWITTER KOENNEN,MORGEN WEST VERBREITEN AB MITTAG NOCH-NICHT MITTE SUED REGION MEHR GEWITTER KOENNEN
226,WIE-AUSSEHEN IN-KOMMEND SONNTAG OST SPEZIELL SCHNEE NORD BLEIBEN WIND,WIE-AUSSEHEN IN-KOMMEND SONNTAG OST SPEZIELL SCHNEE NORD BLEIBEN WIND
227,FREITAG UEBERWIEGEND SONNE UND SAMSTAG AUCH SONNE,FREITAG UEBERWIEGEND SONNE UND SAMSTAG AUCH SONNE
228,WIND NORD SCHWACH MAESSIG WEHEN SCHWACH WEHEN HEUTE NACHT TEMPERATUR ELF BIS ACHTZEHN GRAD,WIND NORD SCHWACH MAESSIG WEHEN SCHWACH WEHEN HEUTE NACHT TEMPERATUR ELF BIS ACHTZEHN GRAD
229,NORD LUFT SONNE DESWEGEN GRENZE HOCH TIEF HOCH KALT WIND,HOCH NORD SONNE DESWEGEN GRENZE HOCH TIEF HOCH KALT WIND
230,WEST TEIL SCHNEE SCHNEIEN TEIL REGEN HEUTE NACHT MOEGLICH REGEN MIT EIS GLATT GEFAHR,WEST TEIL SCHNEE SCHNEIEN TEIL REGEN HEUTE NACHT MOEGLICH REGEN MIT EIS GLATT GEFAHR
231,WEST IX NORDOSTRAUM IX NORD FRISCH WIND,MORGEN IX WEHEN IX NORD FRISCH WIND
232,NACH MITTAG ABEND REGEN GEWITTER BISSCHEN SUED ABER KUEHL REGEN MEHR AUSHALTEN KOENNEN,NACH MITTAG OST REGEN GEWITTER BISSCHEN SUED ABER KUEHL REGEN MEHR AUSHALTEN KOENNEN
233,JETZT WETTER VORAUS INFORMIEREN MORGEN MONTAG EINS DREISSIG JANUAR,JETZT WETTER VORAUS INFORMIEREN MORGEN MONTAG EINS DREISSIG JANUAR
234,NORDWEST REGION UND IX TEILWEISE AUCH SONNE DABEI,REGEN REGION UND IX TEILWEISE AUCH SONNE DABEI
235,HEUTE NACHT HERBST HEUTE NACHT HEFTIG REGEN KUESTE GEWITTER,IM-VERLAUF FRUEH HERBST HEUTE NACHT HEFTIG REGEN KUESTE GEWITTER
236,MORGEN WEST SCHWARZ WALD REGION BERG AUCH E+R+Z BERG IX AUCH BISSCHEN SCHNEE,BESONDERS WEST SCHWARZ WALD REGION BERG AUCH E+R+Z BERG IX AUCH BISSCHEN SCHNEE
237,MORGEN WETTER WIE-AUSSEHEN FREITAG ZEHNTE JULI,MORGEN WETTER WIE-AUSSEHEN FREITAG ZEHNTE JULI
238,TIEF REGEN OST KOMMEN VERSCHWINDEN IN-KOMMEND NEU,TIEF REGEN OST KOMMEN VERSCHWINDEN IN-KOMMEND NEU
239,IX REGION AUCH NORDOST VERLAUFEN VERSCHWINDEN,HOFFEN REGION JETZT NORDOST VERLAUFEN VERSCHWINDEN
240,HEUTE NACHT REGEN-PLUSPLUS NUR NORDWEST BISSCHEN REGEN SONST REGION RUHIG,HEUTE NACHT NICHT-KAUM NUR NORDWEST BISSCHEN REGEN SONST REGION RUHIG
241,IM-VERLAUF MOEGLICH UMKEHREN REGEN ABER EIS REGEN VORSICHT STRASSE GLATT MOEGLICH,IM-VERLAUF SCHNEE UMKEHREN REGEN ABER EIS REGEN VORSICHT STRASSE GLATT MOEGLICH
242,MORGEN MORGEN IM-VERLAUF IX ANFANG FREUNDLICH ABER WOLKE KOMMEN OST,IX MORGEN IM-VERLAUF IX ANFANG FREUNDLICH ABER WOLKE KOMMEN OST
243,WARM REGION TIEF IX DEUTSCH NORD DEUTSCH LAND IX NORD IX KOMMEN DANN KUEHL KOMMEN,MONTAG MEER TIEF IX DEUTSCH NORD DEUTSCH LAND IX NORD IX KOMMEN DANN KUEHL KOMMEN
244,DIENSTAG BISSCHEN WOLKE MEHR REGEN ODER SCHNEE,AUCH DIENSTAG WOLKE MEHR REGEN ODER SCHNEE
245,loc-REGION MORGEN ANGENEHM DEUTSCH LAND ABER IM-MOMENT DANN VIEL REGEN REGION OST REGION OST LANGSAM,FRISCH MORGEN ANGENEHM DEUTSCH LAND ABER IM-MOMENT DANN VIEL REGEN REGION OST REGION OST LANGSAM
246,NUR IX SCHNEE REGEN BERG ABER SUED REGION REGEN UNGEFAEHR TAUSEND ZWEIHUNDERT IX SCHNEE,BERG MEISTENS SCHNEE REGEN BERG ABER SUED REGION REGEN UNGEFAEHR TAUSEND ZWEIHUNDERT IX SCHNEE
247,TEMPERATUR NUR MORGEN GLEICH SIEBZEHN ACHTZEHN SUEDOST WENN REGEN,TEMPERATUR WIE-AUSSEHEN MORGEN GLEICH SIEBZEHN ACHTZEHN SUEDOST WENN REGEN
248,SUED SCHWACH WEHEN MAESSIG KUESTE STARK STURM,SUED SCHWACH NORD MAESSIG KUESTE STARK STURM
249,JETZT WETTER WIE-AUSSEHEN MORGEN SONNTAG ZEHNTE JANUAR,JETZT WETTER WIE-AUSSEHEN MORGEN SONNTAG ZEHNTE JANUAR
250,SAMSTAG ENORM SONNE WOLKE KAUM,SAMSTAG MEHR SONNE WOLKE KAUM
251,JETZT MORGEN MORGEN SONNTAG NEUNZEHN MAI,WETTER WIE-AUSSEHEN MORGEN SONNTAG VIERZEHN FEBRUAR
252,TAG NORDOST SECHSZEHN REGION IX DREI ZWANZIG GRAD,TAG NORDOST SECHSZEHN REGION IX DREI ZWANZIG GRAD
253,MITTWOCH SINKEN KUEHLER WECHSELHAFT SONNE WOLKE SCHAUER GEWITTER WEST,MITTWOCH SINKEN KUEHLER WECHSELHAFT SONNE WOLKE SCHAUER GEWITTER WEST
254,IX FUENF __EMOTION__ NEBEL UND FUENFZEHN GRAD FOEHN REGION,TAG FUENF GRAD NEBEL UND FUENFZEHN GRAD FOEHN REGION
255,HEUTE NACHT loc-REGION WEST REGEN LANGSAM KOMMEN FLUSS REGION NOCH,HEUTE NACHT SCHON WEST REGEN LANGSAM KOMMEN FLUSS REGION NOCH
256,WIND MEHR WEHEN STURM GEWITTER KOENNEN AUCH DABEI STURM,WIND WEHEN IX STURM GEWITTER KOENNEN AUCH DABEI STURM
257,__LEFTHAND__ TIEF EUROPA IX WIE-AUSSEHEN SEHEN ZEIGEN-BILDSCHIRM KOMMEN,ZWEI TIEF EUROPA IX WIE-AUSSEHEN SEHEN ZEIGEN-BILDSCHIRM KOMMEN
258,REGION WOLKE WEST KOMMEN REGEN,REGION SPAETER WEST KOMMEN REGEN
259,HABEN NACHT HOCH cl-KOMMEN ABER SONNE IX SCHWIERIG SCHEINEN,HEUTE REGION HOCH KOMMEN ABER SONNE IX SCHWIERIG SCHEINEN
260,__PU__ SUEDOST KOENNEN ORT UNWETTER REGEN HAGEL STURM KOENNEN NORMAL WIND LEICHT MAESSIG KOMMEN WEHEN,SPEZIELL SUEDOST KOENNEN ORT UNWETTER REGEN HAGEL STURM KOENNEN NORMAL WIND LEICHT MAESSIG KOMMEN WEHEN
261,SAMSTAG BISSCHEN WOLKE cl-KOMMEN TAG SUED MITTE WOLKE KRAEFTIG NEBEL,NORDWEST BISSCHEN WOLKE KOMMEN TAG SUED MITTE WOLKE KRAEFTIG NEBEL
262,HEUTE NACHT PLUS DREI REGION NULL ZWISCHEN LEICHT FROST MINUS EIN MINUS ZWEI,HEUTE NACHT PLUS DREI REGION NULL ZWISCHEN LEICHT FROST MINUS EIN MINUS ZWEI
263,NORD NORD BERG STURM MORGEN ORKAN HABEN DESHALB FRISCH MAESSIG WEHEN,NACHT SEE SCHWER STURM MORGEN ORKAN HABEN DESHALB FRISCH MAESSIG WEHEN
264,FREITAG SUED SCHWACH WEHEN KOENNEN STURM KOENNEN NORD SCHWER STURM REGION,SUED WEHEN IX WEHEN KOENNEN STURM KOENNEN NORD SCHWER STURM
265,MEER IX BIS SCHWARZ MEER HOCH KOMMEN MORGEN MEHR SCHWACH ABER DEUTSCH LAND VIEL SONNE NUR NORD BISSCHEN WOLKE,MEER IX BIS SCHWARZ MEER HOCH KOMMEN MORGEN MEHR SCHWACH ABER DEUTSCH LAND VIEL SONNE NUR NORD BISSCHEN WOLKE
266,DONNERSTAG IN-KOMMEND MILD DANN WIEDER SCHNEE GRENZE AUF,ABER IN-KOMMEND MILD DANN WIEDER SCHNEE GRENZE AUF
267,WIND SCHWACH FRISCH STARK HOCH STURM,WIND WEHEN FRISCH KOMMEN HOCH STURM
268,NUR SONNE ABER DEUTSCH KAUM NORD BISSCHEN BISSCHEN SONNE DANN FLUSS REGION AUCH SONNE,ENDLICH SONNE ABER DEUTSCH KAUM NORD DEUTSCH BISSCHEN SONNE DANN FLUSS REGION AUCH SONNE
269,LUFT IM-VERLAUF MONTAG DIENSTAG NORDOST DANN KALT NORDRHEIN-WESTFALEN HEINS BERG KOMMEN HEUTE NACHT REGEN KOENNEN,WOCHENENDE IM-VERLAUF MONTAG DIENSTAG NORDOST DANN KALT NORDRHEIN-WESTFALEN HEINS BERG KOMMEN HEUTE NACHT REGEN KOENNEN
270,REGION WOLKE KLAR TROCKEN AM-TAG REGION SCHNEE FLUSS REGEN,REGION WOLKE KLAR TROCKEN AM-TAG REGION SCHNEE FLUSS REGEN
271,HEUTE IX EIN GRAD MINUS SIEBEN REGION,HEUTE-NACHT IX EIN GRAD MINUS SIEBEN REGION
272,MORGEN loc-REGION ZWANZIG loc-NORD BIS ACHT ZWANZIG UNTEN REGION,MORGEN EINS ZWANZIG REGION BIS ACHT ZWANZIG UNTEN REGION
273,JETZT WETTER WIE-AUSSEHEN MORGEN SONNTAG SIEBEN ZWANZIG SEPTEMBER,JETZT WETTER WIE-AUSSEHEN MORGEN SONNTAG SECHS ZWANZIG SEPTEMBER
274,MORGEN REGION VOR MITTAG MEHR BISSCHEN LEICHT REGEN NACH MITTAG REGEN DURCH,MITTE REGION VOR MITTAG MEHR BISSCHEN LEICHT REGEN NACH MITTAG REGEN DURCH
275,HEUTE STURM KOENNEN MORGEN SCHWACH MAESSIG ZEIGEN-BILDSCHIRM WIND,HEUTE-NACHT STURM KOENNEN MORGEN SCHWACH MAESSIG ZEIGEN-BILDSCHIRM WIND
276,TAG EUROPA IX REGEN NICHT NEIN,MITTE EUROPA VIEL REGEN NICHT NEIN
277,MORGEN WECHSELHAFT ABER IX MORGEN BISSCHEN BESSER RUHIG NACHT SCHNEE,MORGEN WECHSELHAFT ABER IX MORGEN BISSCHEN BESSER RUHIG NACHT SCHNEE
278,SUEDOSTRAUM REGEN STARK KANN,SUEDOST REGEN STARK KANN
279,ABEND HEUTE SCHOEN ABEND WUENSCHEN,WIE HERBST SCHOEN ABEND WUENSCHEN
280,SONNE,SONNE
281,HOCH NORD HOCH KOMMEN NOCH IN-KOMMEND SONNE MEISTENS,OST NORD HOCH KOMMEN NOCH IN-KOMMEND SONNE MEISTENS
282,FREITAG SUEDOST SONNE FREITAG DANN MEHR WOLKE REGEN KOENNEN,FREITAG SUEDOST SONNE FREITAG DANN MEHR WOLKE REGEN KOENNEN
283,IN-KOMMEND WIE WIE TATSAECHLICH SPUEREN PASSEN SOMMER WEST,IN-KOMMEND MEHR WIE TATSAECHLICH SPUEREN PASSEN SOMMER WEST
284,GUT IM-MOMENT NACHT NOCH WARM IX MORGEN FRUEH MEHR KUEHL,JETZT IM-MOMENT NACHT NOCH WARM IX MORGEN FRUEH MEHR KUEHL
285,JETZT WETTER WIE-AUSSEHEN MORGEN MONTAG FUENFZEHN JULI,JETZT WETTER WIE-AUSSEHEN MORGEN MONTAG FUENFTE JULI
286,FREITAG WARNUNG UNWETTER DEUTSCH WETTER DIENST HAUPTSAECHLICH NORD MITTE REGEN GEWITTER,DIESE WARNUNG UNWETTER DEUTSCH WETTER DIENST HAUPTSAECHLICH NORD MITTE REGEN GEWITTER
287,ENGLAND KUEHL REGION TIEF HOCH REGION KOMMEN KUEHL,LUFT KUEHL REGION TIEF HOCH REGION KOMMEN KUEHL
288,HEUTE NACHT IX REGION NULL GRAD WENN STERN KOENNEN BIS MINUS ZWEIZWANZIG GRAD,HEUTE NACHT IX REGION NULL GRAD WENN STERN KOENNEN BIS MINUS ZWEIZWANZIG GRAD
289,ZUERST WASSER STEIGEN HEUTE NACHT KOMMEN WOLKE KOMMEN,KOENNEN WASSER STEIGEN HEUTE NACHT KOMMEN WOLKE KOMMEN
290,JETZT WIE-AUSSEHEN WETTER MORGEN DONNERSTAG ZWOELFTE SEPTEMBER DEZEMBER,JETZT WIE-AUSSEHEN WETTER MORGEN DONNERSTAG ZEHNTE SEPTEMBER DEZEMBER
